Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2009,NBA,New York Knicks,29,53,0.354,3,,94,1.3,107.6,0,111.6,4,,M. D'Antoni (29,D. Lee (10.3)
2008,NBA,New York Knicks,32,50,0.39,5,,96.7,5,108.1,,110.8,2.5,,M. D'Antoni (32,D. Lee (9.0)
2007,NBA,New York Knicks,23,59,0.28,5,,91.6,,104.7,,111.9,4.4,,I. Thomas (23,D. Lee (7.4)
2006,NBA,New York Knicks,33,49,0.402,4,,90.8,,105.7,,108.8,2.3,,I. Thomas (33,D. Lee (6.9)
2005,NBA,New York Knicks,23,59,0.28,5,,90.8,0.3,104,,111,4.8,,L. Brown (23,J. Crawford (4.5)
2004,NBA,New York Knicks,33,49,0.402,5,,90.7,,106.2,0.1,108.9,2.8,,L. Wilkens (17,S. Marbury (11.7)
2003,NBA,New York Knicks*,39,43,0.476,3,,89.5,,101.7,,103.3,0.4,Lost E. Conf. 1st Rnd.,D. Chaney (15,S. Marbury (5.5)
2002,NBA,New York Knicks,37,45,0.451,6,,90.7,,104.7,1.1,106.2,2.6,,D. Chaney (37,A. Houston (7.2)
2001,NBA,New York Knicks,30,52,0.366,7,,89.7,,101.5,,105.9,1.4,,J. Van Gundy (10,K. Thomas (6.5)
2000,NBA,New York Knicks*,48,34,0.585,3,1.98,86.7,,101.2,,98.2,,Lost E. Conf. 1st Rnd.,J. Van Gundy (48,M. Camby (10.3)
1999,NBA,New York Knicks*,50,32,0.61,2,1.3,89.2,,102.5,,100.9,,Lost E. Conf. Finals,J. Van Gundy (50,A. Houston (8.6)
1998,NBA,New York Knicks*,27,23,0.54,4,1.45,86.9,,98.6,,97.5,,Lost Finals,J. Van Gundy (27,L. Johnson (4.9)
1997,NBA,New York Knicks*,43,39,0.524,2,2.74,88.2,,103,,100.3,,Lost E. Conf. Semis,J. Van Gundy (43,C. Ward (7.1)
